;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
828;;          Producto Interno Bruto y Gasto a precios de mercado, nominal;Producto Interno Bruto y Gasto a precios de mercado, nominal;E04.02.01.00.00.00.00.00.00.A.CRC                                     ;Anual
829;828;               Gasto de consumo final, nominal;Gasto de consumo final, nominal;E04.02.01.01.00.00.00.00.00.A.CRC                                     ;Anual
830;829;                    Gasto de consumo final de los hogares, nominal;Gasto de consumo final de los hogares, nominal;E04.02.01.01.01.00.00.00.00.A.CRC                                     ;Anual
831;829;                    Gasto de consumo final del Gobierno General, nominal;Gasto de consumo final del Gobierno General, nominal;E04.02.01.01.02.00.00.00.00.A.CRC                                     ;Anual
2682;829;                    Gasto de consumo final de los hogares, nominal;Gasto de consumo final de los hogares, nominal;E04.02.01.01.01.00.00.00.00.A.PPA                                     ;Anual
2683;829;                    Gasto de consumo final del Gobierno General, nominal;Gasto de consumo final del Gobierno General, nominal;E04.02.01.01.02.00.00.00.00.A.PPA                                     ;Anual
2756;829;                    Gasto de consumo final de los hogares, nominal;Gasto de consumo final de los hogares, nominal;E04.02.01.01.01.00.00.00.00.A.PVI                                     ;Anual
2757;829;                    Gasto de consumo final del Gobierno General, nominal;Gasto de consumo final del Gobierno General, nominal;E04.02.01.01.02.00.00.00.00.A.PVI                                     ;Anual
832;828;               Formación bruta de capital, nominal;Formación bruta de capital, nominal;E04.02.01.02.00.00.00.00.00.A.CRC                                     ;Anual
833;832;                    Formación bruta de capital fijo, nominal;Formación bruta de capital fijo, nominal;E04.02.01.02.01.00.00.00.00.A.CRC                                     ;Anual
834;832;                    Variación de existencias, nominal;Variación de existencias, nominal;E04.02.01.02.02.00.00.00.00.A.CRC                                     ;Anual
2685;832;                    Formación bruta de capital fijo, nominal;Formación bruta de capital fijo, nominal;E04.02.01.02.01.00.00.00.00.A.PPA                                     ;Anual
2686;832;                    Variación de existencias, nominal;Variación de existencias, nominal;E04.02.01.02.02.00.00.00.00.A.PPA                                     ;Anual
2759;832;                    Formación bruta de capital fijo, nominal;Formación bruta de capital fijo, nominal;E04.02.01.02.01.00.00.00.00.A.PVI                                     ;Anual
835;828;               Exportaciones de bienes y servicios, nominal;Exportaciones de bienes y servicios, nominal;E04.02.01.03.00.00.00.00.00.A.CRC                                     ;Anual
836;835;                    Exportaciones de bienes FOB, nominal;Exportaciones de bienes FOB, nominal;E04.02.01.03.01.00.00.00.00.A.CRC                                     ;Anual
837;835;                    Exportaciones de servicios, nominal;Exportaciones de servicios, nominal;E04.02.01.03.02.00.00.00.00.A.CRC                                     ;Anual
2688;835;                    Exportaciones de bienes FOB, nominal;Exportaciones de bienes FOB, nominal;E04.02.01.03.01.00.00.00.00.A.PPA                                     ;Anual
2689;835;                    Exportaciones de servicios, nominal;Exportaciones de servicios, nominal;E04.02.01.03.02.00.00.00.00.A.PPA                                     ;Anual
2762;835;                    Exportaciones de bienes FOB, nominal;Exportaciones de bienes FOB, nominal;E04.02.01.03.01.00.00.00.00.A.PVI                                     ;Anual
2763;835;                    Exportaciones de servicios, nominal;Exportaciones de servicios, nominal;E04.02.01.03.02.00.00.00.00.A.PVI                                     ;Anual
838;828;               Importaciones de bienes y servicios, nominal;Importaciones de bienes y servicios, nominal;E04.02.01.04.00.00.00.00.00.A.CRC                                     ;Anual
839;838;                    Importaciones de bienes FOB, nominal;Importaciones de bienes FOB, nominal;E04.02.01.04.01.00.00.00.00.A.CRC                                     ;Anual
840;838;                    Importaciones de servicios, nominal;Importaciones de servicios, nominal;E04.02.01.04.02.00.00.00.00.A.CRC                                     ;Anual
2691;838;                    Importaciones de bienes FOB, nominal;Importaciones de bienes FOB, nominal;E04.02.01.04.01.00.00.00.00.A.PPA                                     ;Anual
2692;838;                    Importaciones de servicios, nominal;Importaciones de servicios, nominal;E04.02.01.04.02.00.00.00.00.A.PPA                                     ;Anual
2765;838;                    Importaciones de bienes FOB, nominal;Importaciones de bienes FOB, nominal;E04.02.01.04.01.00.00.00.00.A.PVI                                     ;Anual
2766;838;                    Importaciones de servicios, nominal;Importaciones de servicios, nominal;E04.02.01.04.02.00.00.00.00.A.PVI                                     ;Anual
2681;828;               Gasto de consumo final, nominal;Gasto de consumo final, nominal;E04.02.01.01.00.00.00.00.00.A.PPA                                     ;Anual
2687;828;               Exportaciones de bienes y servicios, nominal;Exportaciones de bienes y servicios, nominal;E04.02.01.03.00.00.00.00.00.A.PPA                                     ;Anual
2690;828;               Importaciones de bienes y servicios, nominal;Importaciones de bienes y servicios, nominal;E04.02.01.04.00.00.00.00.00.A.PPA                                     ;Anual
2753;828;               Gasto de consumo final, nominal;Gasto de consumo final, nominal;E04.02.01.01.00.00.00.00.00.A.PVI                                     ;Anual
